state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,day,week,month
California,No,Basic,Bachelor,Unemployed,M,Urban,Married,Personal Auto,L3,1,Call Center,Four-Door Car,Medsize,25,4,1
Washington,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,L2,1,Agent,Two-Door Car,Small,18,3,1
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,L1,3,Web,Four-Door Car,Medsize,13,6,2
Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,L1,1,Branch,Four-Door Car,Medsize,15,2,1
California,No,Premium,Bachelor,Employed,M,Suburban,Married,Personal Auto,L3,1,Agent,Four-Door Car,Small,8,1,1
Oregon,No,Extended,Master or Doctor,Employed,F,Suburban,Married,Personal Auto,L3,2,Web,Four-Door Car,Small,6,5,2
Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,L2,3,Agent,Two-Door Car,Small,25,4,1
Arizona,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,L3,1,Call Center,Four-Door Car,Medsize,7,6,2
Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate Auto,L3,3,Call Center,Two-Door Car,Medsize,18,3,1
Oregon,Yes,Basic,College,Employed,F,Rural,Single,Corporate Auto,L3,2,Agent,Two-Door Car,Medsize,11,2,1
California,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,L2,2,Agent,Four-Door Car,Small,28,4,1
Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,L2,4,Agent,Luxury,Medsize,8,6,2
Washington,No,Basic,College,Employed,M,Suburban,Married,Special Auto,L2,2,Call Center,Four-Door Car,Large,23,8,2
Oregon,No,Premium,Master or Doctor,health related absence,F,Rural,Married,Personal Auto,L2,1,Branch,SUV,Medsize,25,4,1
Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,L3,3,Call Center,Four-Door Car,Medsize,31,5,1
Oregon,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,L2,4,Agent,Two-Door Car,Medsize,2,52,1
California,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,L2,2,Call Center,Four-Door Car,Medsize,7,6,2
Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,L2,4,Branch,Four-Door Car,Medsize,18,3,1
Nevada,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,L1,4,Branch,Four-Door Car,Medsize,21,8,2
Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,L3,4,Agent,Four-Door Car,Medsize,16,7,2
California,No,Premium,Bachelor,health related absence,M,Suburban,Married,Personal Auto,L2,1,Branch,Four-Door Car,Small,17,3,1
Arizona,No,Extended,College,Employed,F,Suburban,Divorced,Corporate Auto,L3,3,Call Center,Four-Door Car,Small,5,5,2
California,No,Basic,College,Employed,M,Urban,Married,Special Auto,L2,2,Branch,Four-Door Car,Medsize,13,6,2
Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,L2,1,Call Center,SUV,Small,23,8,2
Oregon,No,Extended,High School or Below,health related absence,F,Suburban,Divorced,Personal Auto,L3,1,Call Center,SUV,Medsize,28,4,1
Oregon,No,Premium,Master or Doctor,health related absence,F,Suburban,Divorced,Personal Auto,L1,1,Agent,Four-Door Car,Medsize,28,9,2
Arizona,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Personal Auto,L1,1,Agent,Four-Door Car,Medsize,2,52,1
California,No,Premium,Bachelor,health related absence,F,Suburban,Married,Personal Auto,L3,1,Call Center,Two-Door Car,Small,22,3,1
Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,L3,1,Agent,Two-Door Car,Small,15,2,1
Arizona,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,L3,3,Branch,Four-Door Car,Large,23,3,1
Washington,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,L3,3,Web,Four-Door Car,Medsize,31,5,1
Oregon,No,Basic,College,Employed,F,Suburban,Divorced,Corporate Auto,L3,1,Agent,SUV,Medsize,26,4,1
Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,L3,4,Branch,Two-Door Car,Small,10,2,1
Oregon,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Personal Auto,L3,1,Call Center,Two-Door Car,Large,27,4,1
California,No,Premium,College,health related absence,F,Suburban,Married,Personal Auto,L3,3,Web,Four-Door Car,Medsize,9,1,1
Oregon,No,Basic,Master or Doctor,Employed,M,Rural,Married,Personal Auto,L2,2,Web,Two-Door Car,Large,11,6,2
Oregon,No,Basic,Master or Doctor,health related absence,M,Suburban,Married,Personal Auto,L1,1,Agent,Four-Door Car,Medsize,12,6,2
Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,L3,1,Agent,Luxury,Medsize,4,5,2
Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,L3,2,Branch,Two-Door Car,Medsize,18,3,1
Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,L3,2,Branch,Four-Door Car,Small,11,6,2
Oregon,No,Basic,High School or Below,Employed,F,Rural,Single,Personal Auto,L1,2,Call Center,Four-Door Car,Medsize,1,5,2
Nevada,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,L1,2,Agent,Four-Door Car,Medsize,15,7,2
Washington,No,Extended,College,Employed,M,Rural,Married,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,6,5,2
California,No,Extended,College,Unemployed,F,Rural,Single,Personal Auto,L3,3,Branch,Two-Door Car,Large,26,4,1
California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,L3,2,Call Center,Four-Door Car,Medsize,26,8,2
California,No,Basic,Master or Doctor,Employed,M,Suburban,Married,Personal Auto,L1,3,Branch,SUV,Medsize,27,4,1
Nevada,No,Basic,Master or Doctor,Employed,M,Suburban,Married,Personal Auto,L3,2,Call Center,Four-Door Car,Large,16,2,1
Oregon,No,Extended,College,health related absence,F,Suburban,Single,Personal Auto,L3,2,Agent,Four-Door Car,Small,27,4,1
Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,L2,1,Call Center,Four-Door Car,Medsize,28,9,2
California,Yes,Extended,College,Retired,M,Suburban,Married,Personal Auto,L1,1,Agent,Four-Door Car,Medsize,25,4,1
California,No,Basic,Bachelor,Employed,F,Urban,Married,Corporate Auto,L2,3,Web,Four-Door Car,Medsize,1,52,1
Oregon,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,L2,3,Branch,Four-Door Car,Medsize,1,5,2
California,Yes,Extended,College,Employed,M,Suburban,Married,Personal Auto,L3,1,Branch,Four-Door Car,Medsize,19,7,2
Oregon,No,Premium,College,health related absence,M,Suburban,Married,Personal Auto,L3,2,Branch,Two-Door Car,Small,27,4,1
Washington,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Corporate Auto,L3,2,Call Center,Two-Door Car,Medsize,27,8,2
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,L3,1,Agent,Four-Door Car,Medsize,17,3,1
Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,L1,1,Branch,Two-Door Car,Small,10,6,2
California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,L2,1,Agent,Four-Door Car,Medsize,24,4,1
Arizona,No,Basic,Master or Doctor,health related absence,F,Rural,Married,Personal Auto,L3,1,Branch,SUV,Medsize,15,7,2
California,No,Basic,Bachelor,health related absence,M,Suburban,Married,Personal Auto,L2,1,Agent,Four-Door Car,Medsize,16,7,2
Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,L1,3,Web,Four-Door Car,Medsize,22,3,1
Oregon,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,L2,1,Agent,Two-Door Car,Small,25,8,2
California,Yes,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,L3,1,Agent,SUV,Medsize,11,2,1
California,Yes,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,L1,1,Branch,Four-Door Car,Medsize,31,5,1
Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Corporate Auto,L3,3,Call Center,Two-Door Car,Medsize,12,2,1
California,Yes,Premium,College,Employed,M,Suburban,Married,Personal Auto,L3,2,Branch,Four-Door Car,Medsize,16,7,2
California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,L3,1,Web,SUV,Medsize,9,6,2
Oregon,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,L3,1,Call Center,Four-Door Car,Small,19,3,1
California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,L1,3,Branch,Four-Door Car,Medsize,4,1,1
Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,L1,1,Agent,SUV,Medsize,9,1,1
California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,L3,1,Agent,Two-Door Car,Medsize,27,4,1
Oregon,No,Basic,College,Employed,M,Urban,Married,Corporate Auto,L1,4,Agent,Four-Door Car,Medsize,14,7,2
California,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,L3,4,Agent,Four-Door Car,Small,27,8,2
Washington,No,Extended,High School or Below,Employed,M,Suburban,Divorced,Corporate Auto,L2,2,Web,Four-Door Car,Small,12,6,2
Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,L3,2,Branch,SUV,Medsize,26,8,2
Oregon,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,20,7,2
California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,L2,1,Agent,SUV,Medsize,15,7,2
Oregon,Yes,Extended,High School or Below,Retired,M,Suburban,Divorced,Personal Auto,L3,2,Agent,SUV,Medsize,18,7,2
Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,L3,2,Branch,Two-Door Car,Medsize,21,3,1
California,No,Basic,Bachelor,Employed,F,Suburban,Single,Personal Auto,L2,3,Agent,Two-Door Car,Medsize,15,2,1
California,No,Extended,College,Employed,F,Urban,Married,Corporate Auto,L2,2,Call Center,Four-Door Car,Medsize,5,5,2
Washington,No,Extended,College,Unemployed,M,Suburban,Married,Personal Auto,L2,3,Web,Two-Door Car,Medsize,24,8,2
California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,L3,1,Call Center,Luxury,Medsize,5,1,1
Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,L3,3,Branch,Two-Door Car,Small,28,4,1
California,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,L3,3,Web,Luxury,Medsize,12,2,1
Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,16,7,2
Oregon,No,Extended,Master or Doctor,Employed,F,Rural,Single,Personal Auto,L3,2,Branch,Four-Door Car,Medsize,7,6,2
Arizona,No,Extended,College,Employed,M,Urban,Married,Special Auto,L2,1,Branch,Four-Door Car,Medsize,13,2,1
Oregon,Yes,Basic,College,Retired,M,Suburban,Divorced,Personal Auto,L2,2,Web,Four-Door Car,Medsize,3,1,1
Washington,No,Basic,Master or Doctor,Unemployed,F,Rural,Married,Personal Auto,L1,2,Agent,Four-Door Car,Medsize,17,7,2
Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,L3,1,Agent,Luxury,Medsize,21,3,1
Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Special Auto,L2,1,Branch,Four-Door Car,Medsize,26,4,1
Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,L3,1,Call Center,Four-Door Car,Medsize,31,5,1
Arizona,No,Premium,College,Employed,M,Suburban,Married,Personal Auto,L3,1,Agent,Four-Door Car,Small,2,52,1
Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,L2,1,Web,Four-Door Car,Small,7,6,2
Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,L3,1,Agent,SUV,Medsize,26,4,1
Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,L2,1,Branch,Luxury,Medsize,11,2,1
Washington,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,L2,2,Agent,Four-Door Car,Small,15,2,1
Oregon,No,Extended,College,Employed,F,Urban,Married,Personal Auto,L3,4,Branch,Four-Door Car,Medsize,8,6,2
Arizona,No,Extended,Bachelor,Employed,F,Urban,Single,Special Auto,L3,3,Branch,Four-Door Car,Small,11,2,1
Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,L1,4,Web,Two-Door Car,Large,9,1,1
Arizona,No,Premium,Master or Doctor,Employed,M,Urban,Married,Personal Auto,L2,1,Call Center,SUV,Medsize,4,5,2
California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,L2,3,Branch,Luxury,Medsize,21,3,1
Washington,No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate Auto,L3,3,Agent,SUV,Medsize,16,7,2
Oregon,Yes,Extended,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,L1,1,Agent,Four-Door Car,Large,24,8,2
Nevada,No,Extended,Bachelor,Employed,M,Urban,Married,Corporate Auto,L2,4,Web,Four-Door Car,Medsize,18,3,1
California,No,Basic,College,Unemployed,F,Suburban,Married,Corporate Auto,L3,1,Call Center,Four-Door Car,Medsize,30,4,1
Arizona,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,L2,1,Call Center,Two-Door Car,Medsize,9,1,1
Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,L3,2,Web,Four-Door Car,Medsize,1,5,2
Oregon,Yes,Premium,College,Unemployed,M,Suburban,Married,Corporate Auto,L2,1,Branch,Four-Door Car,Large,28,9,2
Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,L2,4,Branch,Four-Door Car,Small,31,5,1
Washington,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,L3,2,Agent,Luxury,Medsize,17,7,2
Arizona,No,Extended,High School or Below,health related absence,M,Suburban,Married,Personal Auto,L3,4,Agent,SUV,Medsize,12,6,2
Arizona,No,Extended,Bachelor,health related absence,F,Rural,Married,Personal Auto,L1,1,Branch,SUV,Medsize,24,8,2
California,No,Basic,Bachelor,Employed,F,Urban,Single,Personal Auto,L3,2,Branch,Four-Door Car,Medsize,1,5,2
California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,L2,2,Web,Four-Door Car,Small,6,5,2
Oregon,No,Extended,College,Employed,M,Rural,Single,Personal Auto,L2,3,Agent,Four-Door Car,Medsize,23,3,1
Oregon,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,L2,2,Agent,Four-Door Car,Small,21,3,1
Arizona,Yes,Basic,College,Retired,M,Suburban,Married,Personal Auto,L3,2,Agent,Luxury,Medsize,20,3,1
Arizona,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,L2,1,Web,Two-Door Car,Large,6,1,1
California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,L3,2,Agent,Two-Door Car,Medsize,22,8,2
Washington,No,Basic,College,Employed,F,Urban,Married,Personal Auto,L1,1,Agent,SUV,Medsize,27,8,2
California,Yes,Basic,College,Unemployed,F,Suburban,Divorced,Personal Auto,L3,1,Agent,SUV,Medsize,21,8,2
Washington,Yes,Basic,Bachelor,Retired,F,Suburban,Single,Personal Auto,L1,1,Branch,Four-Door Car,Medsize,29,4,1
California,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,22,8,2
Oregon,No,Basic,Master or Doctor,health related absence,M,Suburban,Married,Personal Auto,L3,1,Agent,Four-Door Car,Small,21,8,2
California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,L3,1,Agent,Four-Door Car,Small,10,2,1
California,Yes,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,L1,1,Agent,Four-Door Car,Small,18,3,1
California,No,Basic,College,health related absence,M,Suburban,Married,Personal Auto,L1,4,Branch,Four-Door Car,Medsize,27,4,1
Oregon,No,Premium,Master or Doctor,health related absence,F,Urban,Divorced,Personal Auto,L3,2,Agent,Four-Door Car,Medsize,15,2,1
Nevada,No,Basic,College,Employed,F,Rural,Divorced,Personal Auto,L3,3,Agent,Four-Door Car,Medsize,9,1,1
Nevada,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,L2,3,Agent,Four-Door Car,Small,28,4,1
California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,L2,2,Call Center,Four-Door Car,Medsize,26,8,2
California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,L2,2,Call Center,Luxury,Medsize,4,1,1
Washington,No,Basic,College,Employed,F,Rural,Married,Personal Auto,L2,2,Agent,SUV,Medsize,1,5,2
Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,L3,2,Call Center,Two-Door Car,Medsize,27,4,1
Washington,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,L3,3,Web,Two-Door Car,Medsize,14,7,2
California,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,L2,2,Call Center,Luxury,Small,23,3,1
California,No,Premium,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,L2,1,Agent,Four-Door Car,Medsize,18,7,2
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,L2,2,Branch,Four-Door Car,Large,18,7,2
Nevada,No,Extended,Bachelor,Employed,M,Suburban,Single,Personal Auto,L2,4,Agent,Four-Door Car,Small,19,3,1
California,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,L3,1,Agent,SUV,Medsize,4,1,1
California,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,L3,3,Call Center,SUV,Small,7,6,2
California,No,Basic,College,Employed,F,Suburban,Single,Corporate Auto,L3,2,Branch,SUV,Medsize,30,4,1
Arizona,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,L1,2,Agent,SUV,Medsize,17,7,2
California,No,Extended,Bachelor,Employed,F,Urban,Single,Personal Auto,L1,3,Branch,Four-Door Car,Medsize,13,2,1
Oregon,No,Extended,College,Employed,M,Urban,Married,Personal Auto,L3,3,Branch,Four-Door Car,Medsize,8,6,2
California,No,Basic,Master or Doctor,Employed,M,Urban,Married,Special Auto,L2,4,Web,SUV,Medsize,29,4,1
California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Special Auto,L3,4,Branch,Two-Door Car,Small,5,5,2
California,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,L3,2,Branch,Two-Door Car,Medsize,20,3,1
Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,L2,4,Agent,Two-Door Car,Small,27,4,1
Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Divorced,Personal Auto,L2,1,Branch,Four-Door Car,Small,9,1,1
Washington,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,L3,1,Agent,Four-Door Car,Small,11,2,1
Oregon,No,Premium,High School or Below,Employed,M,Suburban,Single,Corporate Auto,L3,4,Web,Luxury,Medsize,17,7,2
Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Special Auto,L3,1,Branch,Four-Door Car,Medsize,16,7,2
California,Yes,Extended,College,Employed,M,Suburban,Married,Personal Auto,L1,1,Branch,Four-Door Car,Medsize,19,7,2
California,No,Premium,Master or Doctor,health related absence,F,Suburban,Single,Personal Auto,L1,1,Call Center,SUV,Medsize,21,3,1
Nevada,Yes,Extended,Bachelor,Retired,F,Suburban,Single,Personal Auto,L3,1,Agent,SUV,Medsize,27,8,2
Arizona,No,Basic,High School or Below,Employed,F,Suburban,Married,Corporate Auto,L1,2,Call Center,Four-Door Car,Medsize,4,5,2
California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,L2,1,Agent,SUV,Medsize,18,3,1
California,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,L2,1,Call Center,Four-Door Car,Medsize,3,5,2
California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,L2,1,Agent,SUV,Medsize,2,52,1
California,No,Basic,College,Employed,F,Urban,Married,Personal Auto,L1,2,Branch,Four-Door Car,Medsize,9,1,1
California,No,Premium,College,Employed,M,Suburban,Married,Corporate Auto,L2,1,Branch,SUV,Small,19,3,1
Oregon,No,Basic,High School or Below,Employed,F,Suburban,Divorced,Corporate Auto,L3,2,Agent,SUV,Medsize,11,2,1
Washington,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,L3,3,Web,Four-Door Car,Medsize,31,5,1
California,No,Extended,High School or Below,Employed,M,Suburban,Single,Personal Auto,L3,2,Agent,Two-Door Car,Small,11,2,1
California,Yes,Basic,College,Retired,M,Suburban,Single,Special Auto,L3,1,Agent,Four-Door Car,Medsize,11,6,2
Washington,No,Extended,College,Employed,M,Urban,Married,Corporate Auto,L3,2,Web,Two-Door Car,Small,22,3,1
California,No,Basic,High School or Below,Employed,F,Urban,Single,Special Auto,L3,1,Agent,Four-Door Car,Medsize,24,8,2
Arizona,No,Basic,College,Employed,M,Suburban,Divorced,Personal Auto,L1,4,Agent,Four-Door Car,Small,28,9,2
Oregon,No,Extended,College,Employed,F,Suburban,Married,Corporate Auto,L1,4,Call Center,Four-Door Car,Large,25,4,1
Oregon,No,Premium,College,Employed,M,Urban,Married,Corporate Auto,L3,4,Agent,Luxury,Small,26,8,2
Oregon,Yes,Extended,High School or Below,health related absence,F,Suburban,Married,Special Auto,L3,1,Agent,Two-Door Car,Small,19,7,2
Washington,Yes,Basic,High School or Below,Unemployed,F,Suburban,Divorced,Personal Auto,L3,1,Web,Luxury,Medsize,2,52,1
California,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,L1,2,Branch,Four-Door Car,Medsize,2,52,1
Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,L2,3,Branch,Four-Door Car,Medsize,26,4,1
California,No,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,L2,1,Call Center,Four-Door Car,Medsize,2,5,2
Nevada,No,Basic,High School or Below,Employed,M,Suburban,Divorced,Personal Auto,L1,1,Call Center,Four-Door Car,Small,27,8,2
Washington,Yes,Extended,High School or Below,Employed,M,Suburban,Single,Personal Auto,L3,2,Branch,Two-Door Car,Small,20,3,1
Oregon,No,Basic,College,health related absence,F,Suburban,Married,Personal Auto,L3,2,Call Center,SUV,Small,17,3,1
Oregon,No,Extended,College,Employed,F,Suburban,Married,Personal Auto,L3,3,Branch,Four-Door Car,Medsize,17,3,1
Nevada,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,L1,1,Branch,Two-Door Car,Medsize,24,8,2
Nevada,Yes,Basic,High School or Below,Employed,F,Rural,Single,Corporate Auto,L3,2,Agent,Four-Door Car,Medsize,14,7,2
Arizona,No,Basic,High School or Below,Employed,M,Urban,Married,Corporate Auto,L3,1,Agent,SUV,Small,20,7,2
California,No,Basic,Bachelor,health related absence,M,Suburban,Married,Corporate Auto,L1,1,Agent,Four-Door Car,Small,19,7,2
Arizona,Yes,Basic,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,L1,1,Call Center,Four-Door Car,Medsize,8,6,2
Arizona,Yes,Basic,College,Employed,M,Urban,Single,Personal Auto,L3,2,Agent,Two-Door Car,Medsize,6,5,2
Oregon,No,Premium,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,L3,1,Web,SUV,Small,1,5,2
